BALANCE,PURCHASES,ONE-OFF_PURCHASES,INST_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,PAYMENTS,PRC_FULL_PAYMENT
474.447149,109.74,0,109.74,1013.659552,1,3,176.013005,0
3910.111237,0,0,0,1980.873201,7,0,0,0
229.867179,2390.6,1402.93,987.67,0,0,87,2543.953559,0.916667
863.809833,507.5,507.5,0,695.097159,2,3,587.866451,0.083333
4931.331857,901.42,646.07,255.35,8530.648614,37,9,8113.297346,0
1078.888565,3107.85,2221.74,886.11,0,0,18,1399.82834,0
1565.681099,0,0,0,321.359135,3,0,691.825279,0
464.674156,1979.22,1979.22,0,1981.265503,1,11,3110.052742,0.2
6.660517,310,0,310,0,0,8,417.016763,0
1311.995984,1283.9,1283.9,0,0,0,6,0,0
3625.218146,313.27,313.27,0,668.468743,5,4,0,0
2386.330629,5217.62,4789.09,428.53,0,0,42,5678.729613,0.083333
3971.138765,0,0,0,224.575517,3,0,764.938728,0
5493.90406,229,0,229,970.591332,4,6,2110.557023,0
1879.114033,113,113,0,0,0,2,3509.686561,0
1555.793701,66.2,66.2,0,0,0,1,338.083661,0
809.582978,0,0,0,3819.672466,7,0,4372.148648,0.090909
7.152356,840,840,0,0,0,1,0,0
1923.886805,1887.64,0,1887.64,1605.949371,4,61,3688.045998,0.083333
1758.059987,412.33,325.21,87.12,0,0,11,777.451648,0
809.847455,0,0,0,908.423608,1,0,146.074769,0
1576.305029,0,0,0,382.908547,6,0,540.022225,0
3990.523579,263.5,190.6,72.9,0,0,8,6876.836205,0.083333
1699.435486,1363.69,1363.69,0,0,0,4,1623.816348,0
5487.683724,419.1,0,419.1,625.399386,4,11,1288.214909,0
2990.422186,4523.27,1664.09,2859.18,27296.48576,27,33,28232.69446,0.454545
656.01301,0,0,0,1474.349901,3,0,910.457985,0.25
1808.972419,713.9,503.08,210.82,0,0,8,889.017418,0
532.334517,791.94,516.64,275.3,0,0,7,1305.177304,0
5860.433624,561.87,249.5,312.37,0,0,14,1990.044998,0
1727.638449,606.11,606.11,0,0,0,17,2959.920544,0
578.809679,320,0,320,0,0,8,1438.910569,0
1205.716678,0,0,0,38.325801,1,0,29.278671,0
6593.820644,388.66,388.66,0,4621.93458,7,7,1624.583114,0
17.357563,244.85,40.21,204.64,0,0,13,357.802082,0.181818
81.584711,0,0,0,2985.300006,5,0,116.569033,0
3.78631,133.05,28.2,104.85,0,0,5,210.053432,0.444444
42.46443,396,0,396,0,0,12,725.606194,1
1935.362486,4915.6,4515.34,400.26,293.844792,1,50,4921.066897,0
134.917202,1247.8,1247.8,0,0,0,22,1275.229436,1
7069.950386,1603.78,1445.14,158.64,5626.004046,23,23,4589.873897,0
8181.251131,2258.01,1318.78,939.23,5251.228934,21,60,3021.575846,0
4037.305658,45,45,0,104.238064,1,1,1073.844885,0
6110.265264,0,0,0,2717.253917,14,0,1502.205631,0
9381.255094,5100.07,1147.83,3952.24,370.737197,1,46,6409.496345,0
1977.00709,1032.04,226.9,805.14,4335.919227,21,17,3056.424974,0.090909
1321.47608,45.65,45.65,0,495.657934,1,1,440.840439,0
1307.717841,405.6,405.6,0,0,0,2,0,0
2329.485768,213.34,213.34,0,0,0,3,0,0
1139.782882,0,0,0,120.612912,1,0,151.823651,0
1619.955708,739.44,739.44,0,0,0,11,417.128532,0
3505.671311,0,0,0,1713.984305,6,0,0,0
4.708041,79,0,79,0,0,3,217.820198,1
0,0,0,0,89.849004,1,0,138.021428,0
4.875885,20,20,0,0,0,1,26.487919,0
23.394411,1346.28,0,1346.28,0,0,12,712.149153,0
3539.801912,2823.8,1540.41,1283.39,0,0,75,9172.788366,0.083333
0.62424,389.96,0,389.96,0,0,31,0,0
862.07238,0,0,0,920.309805,1,0,2236.890255,0.083333
2441.542991,808,808,0,959.857263,6,4,532.741699,0
408.656365,941.64,0,941.64,0,0,12,1097.78942,0.083333
4986.400804,0,0,0,5439.467563,40,0,1241.538024,0
1246.624558,423.7,177.64,246.06,412.399058,2,10,577.050373,0
6644.201651,4478.75,2721.59,1757.16,7205.520805,21,64,10857.94321,0.083333
156.216753,1354.86,585.63,769.23,0,0,34,858.976682,0
3393.351236,0,0,0,1008.348672,2,0,0,0
5322.994094,2812.2,857.12,1955.08,2510.352951,8,81,1509.423237,0
6458.56209,0,0,0,3360.228794,11,0,1277.76778,0
175.341651,1508.9,1252.36,256.54,0,0,14,1884.227778,1
680.195157,1045.57,667.95,377.62,0,0,25,552.432305,0
223.763616,2309.78,0,2309.78,0,0,12,1206.81188,0.333333
1785.626943,0,0,0,576.206382,10,0,687.691735,0
54.933231,495,0,495,0,0,2,1969.845566,1
2662.629852,0,0,0,509.023801,4,0,932.418855,0
8504.876253,6724.26,4100.08,2624.18,1686.599777,10,85,1888.756861,0
1464.324632,1174.39,1174.39,0,0,0,8,0,0
2114.158683,5580.85,0,5580.85,0,0,75,3564.977774,0
2876.396444,0,0,0,998.84867,2,0,1065.426905,0
14224.11541,0,0,0,4614.427403,9,0,3066.614272,0
2392.917738,12462.44,12462.44,0,0,0,217,11628.71557,0
57.453201,0,0,0,272.713302,1,0,385.853874,0.166667
4245.855092,1957.3,1077.3,880,0,0,19,1004.35474,0
11167.23403,150.64,150.64,0,8362.154254,14,1,2606.059389,0
69.405545,0,0,0,2799.714934,3,0,0,0
116.654149,907,907,0,273.558033,1,8,0,0
4637.848144,1271.12,351.54,919.58,0,0,33,1906.032044,0
24.28497,250.6,0,250.6,0,0,7,319.762903,0
9354.06045,796.33,796.33,0,13748.47131,16,1,10664.65866,0.083333
231.108995,440,0,440,0,0,22,554.116542,0
1562.633343,1330.62,1169.63,160.99,0,0,8,1020.783647,0
2494.868559,5491.79,1390.5,4101.29,0,0,52,1015.311953,0
706.132889,897.86,714.52,183.34,586.268966,3,18,972.358048,0
19043.13856,22009.92,9449.07,12560.85,0,0,216,23018.57583,0
2235.103331,720.6,720.6,0,723.308724,1,12,1061.292471,0
947.13081,197.06,148.66,48.4,0,0,5,492.200419,0
764.042156,0,0,0,1307.102516,3,0,1566.806897,0
5347.814547,0,0,0,4002.353384,9,0,0,0
10598.46777,2084.48,1300.48,784,0,0,13,3219.621433,0
2163.678757,5779.36,3436.53,2342.83,0,0,97,4416.41268,0
3057.400553,1025,1025,0,0,0,2,698.854095,0
19.354559,689.7,0,689.7,0,0,10,746.691026,0
264.811595,28.65,28.65,0,384.26178,1,1,1235.630069,0.083333
1108.22253,944.96,164.96,780,0,0,9,1955.198953,0
906.573724,1039.2,80,959.2,103.102091,1,11,1855.235407,0.083333
7679.62904,4059.93,0,4059.93,555.469352,7,14,3685.61062,0
1523.911458,4075.37,3322.28,753.09,0,0,31,2254.26002,0
49.206256,870.24,0,870.24,0,0,24,835.839952,1
13673.07961,9792.23,3959.81,5832.42,2444.445738,26,216,11717.30794,0
106.455975,2463.12,789.53,1673.59,0,0,46,2573.722764,0.636364
119.760904,1859.34,0,1859.34,0,0,4,3104.275623,0.25
5837.105453,3488.49,3262.25,226.24,3303.1523,15,46,0,0
1734.510004,0,0,0,66.275851,2,0,363.474455,0
2765.748281,7283.31,5087.31,2196,0,0,77,14373.3929,0.25
1046.37041,295,295,0,93.579809,1,2,439.407082,0
2737.367678,0,0,0,429.691164,5,0,778.827993,0
4014.818167,0,0,0,988.356213,1,0,1009.185035,0
871.568977,648.22,115,533.22,0,0,27,1110.886425,0
1610.040203,557.19,525.64,31.55,0,0,5,422.711848,0
114.593817,469.98,0,469.98,0,0,6,367.109312,0.5
5800.587339,0,0,0,369.950794,1,0,1346.365584,0
823.103926,131.64,0,131.64,0,0,12,2916.071564,0
595.677343,5078.14,4330.53,747.61,1424.442602,1,42,4756.654374,0.916667
1128.124563,924.6,0,924.6,0,0,12,1202.711782,0
349.441102,1975.4,1393.5,581.9,0,0,17,1795.012223,0
840.804076,0,0,0,3671.777443,5,0,3621.266477,0
975.942008,10221.35,7141.38,3079.97,1620.685551,18,130,10693.49585,0.75
23.111088,300,0,300,0,0,3,291.948834,0.181818
2187.732265,0,0,0,3905.326256,9,0,1423.788603,0.2
11972.01104,5715,4685.54,1029.46,1626.351366,3,90,4639.513745,0
1608.451822,0,0,0,205.737165,2,0,470.565984,0
1872.926275,766.61,766.61,0,1017.120578,5,12,0,0
2933.240476,0,0,0,2040.433925,13,0,2431.578544,0
336.799916,3535.8,1614.7,1921.1,0,0,44,2814.231227,1
36.236312,256.11,0,256.11,0,0,5,831.375322,0.166667
903.29781,2697.48,150.5,2546.98,0,0,39,1686.196344,0
0,23,0,23,0,0,1,0,0
2881.253586,117,0,117,17661.49486,28,3,17301.83238,0.166667
5.465999,196.81,173,23.81,0,0,3,0,0
117.442684,653.73,493,160.73,0,0,15,441.588141,0
168.522709,2009.05,0,2009.05,0,0,22,2612.760497,0.142857
1706.014379,147.78,0,147.78,1657.090283,4,2,1186.062765,0
874.583247,516.54,159.07,357.47,0,0,30,579.749308,0
861.001207,969.56,969.56,0,446.233197,1,6,0,0
966.251742,311.45,311.45,0,955.959749,1,15,277.522439,0
38.615644,280.4,280.4,0,0,0,3,254.392984,0.090909
189.687964,66.14,66.14,0,0,0,2,0,0
40.417255,79.2,79.2,0,1631.576375,1,1,1647.880773,0.083333
5462.897068,1453.32,0,1453.32,0,0,18,1382.269127,0
3983.923705,756.54,756.54,0,0,0,15,1110.870941,0
5588.846272,3507.35,603.75,2903.6,0,0,34,1412.597253,0
281.170378,3163.69,56.8,3106.89,0,0,36,2422.911622,0.888889
130.251538,1343.19,1082.79,260.4,0,0,33,1043.55929,0.545455
1973.814964,873,873,0,0,0,5,541.722532,0
5698.539876,47.55,0,47.55,2039.52804,14,2,2976.579866,0
43.103899,370,370,0,0,0,2,1212.054219,0
566.546048,405.75,313.75,92,1044.651618,6,12,1249.835142,0
24.527253,261.64,0,261.64,0,0,10,376.758504,0.818182
8350.145568,1989.28,842.8,1146.48,893.757903,2,8,4720.900413,0
4559.779234,10848.5,8208,2640.5,0,0,123,9423.715495,0
2.67713,43.39,0,43.39,0,0,1,130.107234,0.090909
1570.682346,645.32,645.32,0,1665.331678,9,2,2591.391006,0
7201.736985,987.1,862.1,125,5468.620604,16,9,1941.541158,0
6467.885013,1464.14,978.71,485.43,3947.86784,10,23,1658.563509,0
64.080909,927,600,327,0,0,4,1260.16384,0.222222
5635.860679,393.62,153.72,239.9,5933.467329,24,15,1919.630466,0
3670.50596,965.5,876.13,89.37,0,0,9,1034.932404,0
2458.376257,0,0,0,102.275984,1,0,4543.63481,0
768.004936,336.41,336.41,0,0,0,9,947.696134,0
75.647479,540,0,540,0,0,3,548.967281,0
2.433254,36,0,36,0,0,2,0,0
1121.730896,878.52,103.1,775.42,197.648111,1,39,542.836917,0
7.56809,144.26,67.08,77.18,0,0,7,134.710832,0.111111
2053.441598,493.85,441.35,52.5,1738.33378,16,10,2795.059574,0
2422.311938,4490.69,3456.25,1034.44,188.783221,1,52,5763.666926,0
9047.621884,11188.62,6099.16,5089.46,0,0,151,11994.41815,0
3061.213971,1829.2,1792.7,36.5,0,0,17,971.234118,0
41.642389,75.99,75.99,0,0,0,1,69.163384,0
5431.622968,1824.16,1598.56,225.6,0,0,23,1508.016452,0
6571.484039,9325.22,9325.22,0,0,0,5,11036.72668,0
28.461629,100,100,0,0,0,1,125.769169,0
4178.625215,1431.89,430.69,1001.2,0,0,39,2384.542045,0
3019.019487,2260.41,1356.33,904.08,0,0,25,2187.930651,0
1.045584,0,0,0,466.643895,1,0,1068.581252,0.5
2723.369217,10410.49,1158.84,9251.65,0,0,41,9695.650901,0.363636
1070.999446,990.7,482,508.7,0,0,13,505.317328,0
279.608696,3034.92,0,3034.92,0,0,12,2928.909865,0.083333
1255.901821,1038.81,1038.81,0,1092.634704,1,21,1215.454299,0
2229.857287,45.65,45.65,0,0,0,1,542.7463,0
2363.489077,2641.98,1386.3,1255.68,263.884743,1,41,1839.928884,0
4014.388265,1189.52,1189.52,0,0,0,12,0,0
7623.224897,300,0,300,2800.728343,3,6,1975.974183,0
3421.571922,126.69,42.88,83.81,154.341344,1,5,2515.435738,0
48.898611,247.09,0,247.09,182.357669,3,7,409.594792,0
1874.716289,301.1,83,218.1,0,0,10,586.974046,0
3215.511032,1112.2,1112.2,0,7616.064965,4,4,0,0
237.235398,2410.07,1670.5,739.57,0,0,15,3773.727455,1
1272.927288,5350.19,4783.34,566.85,0,0,101,5825.602115,0.166667
558.476701,630.03,630.03,0,0,0,1,426.092563,0
2814.207626,3197.24,2080.02,1117.22,0,0,49,3574.480603,0
8.061012,133,0,133,0,0,3,130.61272,0.181818
435.862142,1646.16,1023.42,622.74,0,0,33,1055.835407,0
6.390383,79.66,0,79.66,0,0,12,75.896288,0
9612.21512,319.92,0,319.92,13439.5704,12,12,10993.89211,0
7938.559134,3677.52,3543.73,133.79,0,0,98,2657.856602,0
2344.478291,1041.63,1041.63,0,4003.968939,6,14,3033.665478,0
996.48222,675.96,0,675.96,0,0,12,1851.602411,0.083333
19.508047,193.14,0,193.14,0,0,5,220.46377,0.25
185.640313,1703.23,1703.23,0,0,0,13,1449.039414,1
5335.302925,0,0,0,468.958688,2,0,1350.318606,0
22.189283,234.16,0,234.16,0,0,4,479.910499,0.5
5.871769,29.68,29.68,0,0,0,1,76.943584,0
1049.496471,1322.67,1096.71,225.96,774.260436,6,28,802.38543,0
5570.190127,1607.88,0,1607.88,0,0,84,1583.411686,0
1668.591831,0,0,0,1716.941235,5,0,2166.981163,0.083333
2224.590946,3183,3183,0,0,0,2,3823.346244,0
2903.781184,3014.23,1340.34,1673.89,103.610197,1,93,1350.370286,0
2041.480046,7323.38,4944.88,2378.5,191.331735,1,81,3792.095079,0.083333
7755.698607,8533.54,4072.76,4460.78,7540.30735,12,72,4758.209146,0
614.263149,408.93,74.8,334.13,0,0,10,2161.153147,0
8097.334733,3999.92,200,3799.92,0,0,14,5624.074339,0
1082.33027,2980.46,657.78,2322.68,0,0,50,1116.967993,0
2734.66412,560.73,560.73,0,0,0,11,717.798364,0
80.708806,569.9,569.9,0,0,0,3,634.000055,0.083333
2554.525229,6186.77,6099.08,87.69,1898.690655,1,38,11198.92613,0.083333
535.947221,4550.81,3016.98,1533.83,438.469118,1,99,4317.191232,0.916667
3905.365959,150.8,150.8,0,1659.19931,5,2,990.524408,0
156.278339,1385.1,1005.1,380,0,0,21,1280.473571,0.833333
5131.319584,32539.78,26547.43,5992.35,0,0,98,26652.34432,0.083333
5265.763713,410.24,44.71,365.53,15452.97758,13,21,12005.3074,0.083333
2.564117,47.95,47.95,0,0,0,1,294.507498,0
1873.084577,126.57,126.57,0,181.139378,1,4,483.557464,0
32.124999,380.89,380.89,0,0,0,1,0,0
1473.495809,414,0,414,0,0,9,5863.94034,0.5
1504.82705,2010,630,1380,1189.292764,1,14,859.829946,0
7645.108427,4693.15,4332.65,360.5,0,0,12,4786.64868,0
1129.33758,498.96,0,498.96,72.259355,1,12,829.505486,0
668.956687,224.2,148.12,76.08,0,0,9,568.336995,0
2302.184366,2856.57,922.84,1933.73,0,0,62,2914.419813,0
272.711518,0,0,0,682.156051,2,0,2755.877257,0.181818
4246.430225,0,0,0,9270.408108,16,0,6010.525656,0.083333
2420.761135,0,0,0,567.233798,2,0,871.713321,0
2935.324966,409.63,351.87,57.76,1876.241162,4,12,580.13865,0
83.148283,843.34,843.34,0,0,0,17,1024.267592,0.5
5469.851311,0,0,0,512.792701,3,0,1362.966798,0
280.142117,2236.49,758.52,1477.97,0,0,34,1986.838064,1
5790.930626,464.51,399.41,65.1,2516.727082,6,10,1515.594331,0
3605.714046,1779,1779,0,0,0,2,856.05828,0
3992.261885,0,0,0,348.834361,9,0,1057.678259,0
41.833264,456.36,0,456.36,0,0,14,370.996177,0.333333
635.090434,5758.71,2252.37,3506.34,0,0,48,7943.57021,1
1521.1681,245.98,245.98,0,2792.67597,3,2,2261.523522,0
5547.092593,0,0,0,3298.958165,2,0,1786.142816,0
2503.107213,733.9,733.9,0,0,0,13,1620.193277,0
191.450711,1641.07,1641.07,0,380.972341,1,15,1583.918811,0.636364
3621.70204,674.73,674.73,0,1684.957411,8,12,1139.058595,0
2762.479434,2702.47,1526.31,1176.16,0,0,27,7596.768364,0.083333
4338.606862,0,0,0,1817.569093,4,0,8019.800702,0
388.873921,1579.15,1462.35,116.8,0,0,15,451.600059,0
9261.310686,0,0,0,8603.045938,10,0,1933.413908,0
208.131845,2161.38,451.5,1709.88,0,0,41,2059.879468,1
169.088238,1482.19,446.07,1036.12,0,0,26,1289.570234,0.666667
133.911556,1446.05,544.45,901.6,0,0,16,1364.121036,0.833333
1613.34907,0,0,0,1606.322681,3,0,312.433361,0
566.908563,397.06,303.7,93.36,0,0,12,0,0
53.208422,498.17,459.02,39.15,0,0,14,611.606459,0.909091
1329.967543,2009.12,1296.68,712.44,1763.794583,10,36,2715.972095,0
515.904786,5359.02,2399.78,2959.24,0,0,60,0,0
927.041961,0,0,0,402.974164,5,0,719.974244,0
1872.767651,0,0,0,3394.509419,3,0,1151.721386,0
185.396312,0,0,0,842.456926,7,0,117.542764,0
4823.822993,0,0,0,6481.300951,4,0,863.62306,0
994.105777,126.2,126.2,0,0,0,10,314.302968,0
40.089221,225,0,225,0,0,12,325.578502,0.166667
0.478714,734.97,159,575.97,0,0,16,1159.135064,0
4732.37354,14.95,0,14.95,2173.356068,11,1,1289.284068,0
9206.811696,874.98,350,524.98,4653.693195,9,16,2055.100879,0
6719.376505,0,0,0,2443.262416,7,0,1493.089193,0
2233.074041,445.2,445.2,0,0,0,4,1042.991769,0
1867.649838,0,0,0,3264.573342,9,0,476.162309,0
57.842746,689.34,0,689.34,0,0,24,453.842413,0.333333
4194.033835,2006.87,420.6,1586.27,0,0,26,19714.09728,0.1
2459.862339,678,678,0,927.25167,4,12,1926.31853,0
850.630114,0.05,0.05,0,1700.634586,7,1,1084.281127,0
353.198215,3085.69,3032.97,52.72,0,0,21,2690.525687,1
2669.160638,0,0,0,142.141325,2,0,642.777061,0
92.440743,1080,1080,0,0,0,12,1077.058667,1
706.675991,2721.16,2417.41,303.75,0,0,32,4952.900653,0.083333
361.319366,3095.96,1383.56,1712.4,0,0,32,4003.782858,0.583333
2324.086254,0,0,0,1600.758078,13,0,2147.890523,0
2922.487907,71.07,0,71.07,3595.158425,9,3,9226.751112,0
98.364739,65,0,65,0,0,2,718.794328,0
498.208616,4786.61,4397.64,388.97,0,0,61,3805.669705,1
16.93339,174.42,0,174.42,0,0,5,347.08638,0.75
3355.631092,242.88,0,242.88,0,0,12,6084.115091,0.090909
907.982017,216.94,216.94,0,1011.997944,5,3,222.02316,0
1132.386178,2246.3,2246.3,0,14048.07181,20,8,32048.6122,0.8
1254.6691,361.73,361.73,0,198.686744,1,2,535.606816,0
80.336636,330,330,0,0,0,1,345.330572,0
260.838885,2854.11,1797.96,1056.15,0,0,51,2437.332725,1
17.356961,390,90,300,0,0,7,302.454171,0
1897.672025,422.18,422.18,0,0,0,12,2961.632199,0
1032.241153,1005.52,464.5,541.02,0,0,33,1866.265366,0
3536.601227,2132.93,959.1,1173.83,5340.016172,20,74,8251.146946,0
21.580264,284.72,0,284.72,0,0,16,344.161416,0.8
4211.539631,0,0,0,455.581546,1,0,1288.287239,0
1732.715258,3244.16,2480.85,763.31,0,0,29,5674.185857,0
8939.461145,2490.17,905.17,1585,5309.949725,11,8,3957.017497,0
36.567901,1098.31,1098.31,0,0,0,1,0,0
41.754778,636.15,636.15,0,0,0,5,918.414211,0.181818
1937.246177,3018.93,1702.62,1316.31,0,0,99,3909.837604,0.166667
99.955082,1222.97,202.97,1020,0,0,16,1142.077891,1
5135.604593,110.18,0,110.18,6551.99521,17,4,1716.998424,0
214.896542,0,0,0,1192.015721,1,0,2298.902197,0.2
1543.287931,0,0,0,36.481832,1,0,548.589391,0
601.92037,983.77,603.77,380,0,0,15,389.411161,0
1261.05733,0,0,0,474.429843,3,0,866.865018,0
85.285023,423.24,287,136.24,0,0,9,296.01675,0
1903.688611,6079.5,4719.5,1360,10227.22894,22,31,18552.39489,0.416667
813.068705,439.38,439.38,0,727.658311,8,2,237.996469,0
1279.325142,1207.25,0,1207.25,0,0,59,1282.705869,0
237.669312,259.13,259.13,0,0,0,1,2680.635587,0.25
5747.761139,1627.69,0,1627.69,0,0,49,2507.704747,0
7760.940543,0,0,0,3423.085934,10,0,2845.010795,0
6388.108487,0,0,0,3768.696678,3,0,10973.14532,0.083333
426.372628,5749.96,5439.96,310,0,0,50,5711.540654,0.833333
8806.866629,1490.94,0.02,1490.92,2813.063846,4,25,2116.662516,0
282.934373,0,0,0,2333.150712,1,0,0,0
1128.229387,5068.88,3529.88,1539,0,0,76,3904.568067,0.083333
2045.541408,1067.28,0,1067.28,0,0,30,2021.775795,0
8.520292,64.12,64.12,0,0,0,2,176.600545,0
11278.95243,6855.59,2762.92,4092.67,0,0,39,4868.088671,0
143.443832,1631,0,1631,0,0,7,2550.799492,1
241.223955,180.91,180.91,0,0,0,6,802.858576,0
1528.571561,0,0,0,172.931118,2,0,353.582373,0
12474.72954,136.88,0,136.88,515.147607,2,2,3519.008859,0
566.147105,0,0,0,187.572355,1,0,1177.661577,0
1077.606225,343.21,343.21,0,1609.900552,8,4,930.328071,0
1.838084,16.5,16.5,0,0,0,1,57.595083,0
507.144348,5708.18,4584.78,1123.4,0,0,47,5589.952268,1
816.82453,42.3,42.3,0,3967.709973,5,1,361.853722,0
1526.506915,46.67,46.67,0,0,0,1,338.413344,0
7957.017218,0,0,0,4909.937494,4,0,677.144841,0
79.189929,699.12,0,699.12,0,0,24,697.977603,0.583333
497.908027,245.39,0,245.39,0,0,7,328.796655,0
681.95925,98,98,0,0,0,2,192.369983,0
1535.248256,857.36,857.36,0,0,0,13,3239.629759,0.083333
1508.513765,2747.12,1247.12,1500,246.046033,1,4,4730.374245,0.1
11209.37076,11147.33,1137.4,10009.93,2728.576925,8,126,7932.77402,0
201.3504,600,0,600,0,0,6,249.066308,0
2502.264409,0,0,0,2368.872642,2,0,541.308981,0
4543.789386,255.12,5,250.12,0,0,11,1703.332126,0
918.342234,1221.53,1180,41.53,1078.788118,7,2,1421.035206,0.25
5066.744231,0,0,0,1974.503664,6,0,1336.016317,0
2259.431829,780.64,199.65,580.99,1227.555485,6,22,663.553502,0
437.789873,1532.1,223,1309.1,0,0,14,1834.368953,0
2025.162877,778.33,0,778.33,0,0,28,1411.329676,0
3770.560441,964.06,260,704.06,5140.287889,24,8,565.71913,0
140.730723,1667.13,1063.14,603.99,0,0,38,1669.260634,0.25
5523.999416,0,0,0,4087.167822,4,0,0,0
3298.692478,1088.83,518.39,570.44,0,0,6,6862.520735,0
150.699542,648.64,330,318.64,0,0,5,0,0
1874.843394,0,0,0,120.178123,1,0,444.783009,0
3024.629054,0,0,0,2171.139178,10,0,4226.578611,0
154.641707,1897.92,97.92,1800,0,0,5,5563.437084,1
1322.057239,0,0,0,76.260896,1,0,802.038512,0
62.287137,1263.29,279.99,983.3,0,0,25,1356.425369,0.4
16.581535,200,0,200,0,0,2,0,0
4664.023286,340,340,0,3510.115735,8,1,2162.141639,0
318.03434,1277.58,0,1277.58,0,0,20,552.734714,0
681.615445,4117.24,290,3827.24,0,0,229,4561.589382,0
9335.31417,226.23,226.23,0,0,0,5,1885.239981,0
6404.955912,3970.8,2267,1703.8,0,0,64,3879.252512,0
133.405494,1346.9,1028,318.9,0,0,14,1369.437449,0.333333
1403.597712,1050.83,67.9,982.93,4083.515108,4,24,4673.520993,0
469.878834,1364.99,64.99,1300,284.754535,2,7,1849.10398,0.2
1452.437463,0,0,0,114.918715,3,0,331.670616,0
3737.175713,0,0,0,3017.170336,4,0,0,0
6032.740391,7553.48,2643.53,4909.95,0,0,85,5377.338091,0
1692.755487,570.16,0,570.16,2817.05225,7,20,6124.31525,0
3534.253718,566.28,431.01,135.27,3888.756412,2,17,1298.823687,0
654.574445,0,0,0,2819.60583,3,0,422.878799,0
1648.721384,0,0,0,39.646806,2,0,357.836436,0
6822.877573,137.34,137.34,0,4815.112874,16,1,1874.954894,0
8647.057641,0,0,0,5105.254316,14,0,2052.533488,0
5055.582822,0,0,0,3435.737817,1,0,6918.272206,0
4245.550244,332.82,0,332.82,6649.712062,24,25,5810.994681,0
541.915572,1377.72,1377.72,0,0,0,5,182.177646,0
4855.340797,0,0,0,1886.470361,2,0,2996.735376,0
981.643409,0,0,0,1462.32354,2,0,2008.971745,0.125
7057.658848,360.7,360.7,0,6517.541812,15,2,5147.693822,0
4264.307261,222.64,0,222.64,249.298208,3,11,1017.241855,0
4503.390811,1634.74,1376,258.74,94.837161,1,38,1094.345336,0
969.294446,0,0,0,340.249539,1,0,591.853821,0
