order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds
1442393,10,Chongqing,1635,108.71695,30.94378,296,14,10-27 09:33:00,10-27 09:33:00,108.71814,30.95592,10-27 16:03:00,10-27 16:03:00,108.71672,30.94365,1027
3800594,10,Chongqing,1635,108.71963,30.94127,296,14,10-19 08:32:00,10-19 08:32:00,108.71814,30.95599,10-19 13:56:00,10-19 13:56:00,108.7137,30.94528,1019
2074315,10,Chongqing,1635,108.71901,30.94355,296,14,10-18 08:39:00,10-18 08:39:00,108.71828,30.95595,10-18 10:37:00,10-18 10:37:00,108.71963,30.94245,1018
1227214,10,Chongqing,1635,108.71964,30.94128,296,14,08-26 08:56:00,08-26 08:56:00,108.71791,30.9563,08-26 10:44:00,08-26 10:44:00,108.71945,30.94215,826
2999896,10,Chongqing,1635,108.71833,30.94146,296,14,09-09 09:20:00,09-09 09:20:00,108.71799,30.95631,09-09 16:22:00,09-09 16:22:00,108.718,30.94263,909
1626606,10,Chongqing,1635,108.71946,30.94215,296,14,08-14 08:40:00,08-14 08:40:00,108.71807,30.95629,08-14 09:55:00,08-14 09:55:00,108.71972,30.94234,814
308445,10,Chongqing,1635,108.71652,30.94456,296,14,05-21 08:52:00,05-21 08:52:00,108.71795,30.95621,05-21 14:16:00,05-21 14:16:00,108.71794,30.94253,521
4192593,10,Chongqing,1635,108.71839,30.94151,296,14,05-19 10:24:00,05-19 10:24:00,108.71806,30.95625,05-19 11:51:00,05-19 11:51:00,108.71952,30.94269,519
3766518,10,Chongqing,1635,108.72105,30.94159,296,14,06-02 11:06:00,06-02 11:06:00,108.718,30.9563,06-02 14:50:00,06-02 14:50:00,108.71975,30.94211,602
3003321,10,Chongqing,1635,108.71768,30.94358,296,14,10-29 10:02:00,10-29 10:02:00,108.71813,30.95593,10-29 15:58:00,10-29 15:58:00,108.718,30.94255,1029
3235537,10,Chongqing,1635,108.71729,30.94329,296,14,06-14 09:07:00,06-14 09:07:00,108.71795,30.95637,06-14 13:25:00,06-14 13:25:00,108.71797,30.94251,614
2633460,10,Chongqing,1635,108.71736,30.94333,296,14,10-25 09:45:00,10-25 09:45:00,108.71821,30.95599,10-25 15:51:00,10-25 15:51:00,108.71804,30.94258,1025
868940,10,Chongqing,1635,108.71948,30.94218,296,14,05-25 10:51:00,05-25 10:51:00,108.71798,30.95639,05-25 13:41:00,05-25 13:41:00,108.7197,30.94217,525
1028189,10,Chongqing,1635,108.71966,30.94127,296,14,10-23 09:14:00,10-23 09:14:00,108.71819,30.95592,10-23 11:05:00,10-23 11:05:00,108.72352,30.94021,1023
2225872,10,Chongqing,1635,108.7177,30.94344,296,14,10-08 08:58:00,10-08 08:58:00,108.71829,30.95594,10-08 14:59:00,10-08 14:59:00,108.71791,30.94254,1008
2283695,10,Chongqing,1635,108.7183,30.94158,296,14,10-20 08:23:00,10-20 08:23:00,108.71814,30.9559,10-20 09:40:00,10-20 09:40:00,108.71944,30.9422,1020
2837284,10,Chongqing,1635,108.7177,30.94358,296,14,10-16 09:30:00,10-16 09:30:00,108.71825,30.95588,10-16 14:03:00,10-16 14:03:00,108.71809,30.9426,1016
1563847,10,Chongqing,1635,108.7211,30.94161,296,14,10-16 09:31:00,10-16 09:31:00,108.71814,30.95585,10-16 10:50:00,10-16 10:50:00,108.72292,30.94222,1016
4386436,10,Chongqing,1635,108.72112,30.94164,296,14,10-31 09:24:00,10-31 09:24:00,108.71827,30.95583,10-31 11:20:00,10-31 11:20:00,108.72286,30.9421,1031
3997837,10,Chongqing,1635,108.71695,30.94424,296,14,09-30 08:39:00,09-30 08:39:00,108.71819,30.95597,09-30 13:36:00,09-30 13:36:00,108.71803,30.9426,930
3277016,10,Chongqing,1635,108.71827,30.94141,296,14,06-02 11:26:00,06-02 11:26:00,108.71791,30.95627,06-02 14:44:00,06-02 14:44:00,108.71982,30.94237,602
377057,10,Chongqing,1635,108.71764,30.94346,296,14,09-21 09:17:00,09-21 09:17:00,108.71827,30.95599,09-21 14:23:00,09-21 14:23:00,108.71791,30.94259,921
807845,10,Chongqing,1635,108.71774,30.94355,296,14,10-27 09:57:00,10-27 09:57:00,108.71814,30.95587,10-27 16:37:00,10-27 16:37:00,108.71795,30.9426,1027
4266115,10,Chongqing,1635,108.72102,30.94166,296,14,10-31 09:17:00,10-31 09:17:00,108.71822,30.95591,10-31 11:14:00,10-31 11:14:00,108.71972,30.94249,1031
870510,10,Chongqing,1635,108.71724,30.94332,296,14,10-31 09:23:00,10-31 09:23:00,108.71826,30.95596,10-31 15:38:00,10-31 15:38:00,108.71674,30.94423,1031
2897786,10,Chongqing,1635,108.71773,30.94296,296,14,10-26 10:00:00,10-26 10:00:00,108.71823,30.95598,10-26 15:45:00,10-26 15:45:00,108.71787,30.94261,1026
1478138,10,Chongqing,1635,108.71767,30.94353,296,14,09-18 08:34:00,09-18 08:34:00,108.71818,30.95585,09-18 14:33:00,09-18 14:33:00,108.71795,30.94267,918
3939876,10,Chongqing,1635,108.72351,30.94107,296,14,10-27 09:57:00,10-27 09:57:00,108.71821,30.95597,10-27 12:01:00,10-27 12:01:00,108.7238,30.94208,1027
2273200,10,Chongqing,1635,108.71768,30.94355,296,14,09-03 09:49:00,09-03 09:49:00,108.71802,30.9563,09-03 14:34:00,09-03 14:34:00,108.71803,30.9426,903
1411013,10,Chongqing,1635,108.71909,30.94348,296,14,10-12 08:54:00,10-12 08:54:00,108.71821,30.95599,10-12 10:26:00,10-12 10:26:00,108.71971,30.94233,1012
2623086,10,Chongqing,1635,108.72206,30.9416,296,14,10-03 08:47:00,10-03 08:47:00,108.71824,30.95592,10-03 10:26:00,10-03 10:26:00,108.72311,30.93981,1003
3349653,10,Chongqing,1635,108.72119,30.94147,296,14,08-07 08:44:00,08-07 08:44:00,108.71804,30.95639,08-07 09:51:00,08-07 09:51:00,108.72307,30.93982,807
102905,10,Chongqing,1635,108.71772,30.94343,296,14,10-22 10:28:00,10-22 10:28:00,108.71829,30.95594,10-22 17:07:00,10-22 17:07:00,108.71809,30.94262,1022
4206100,10,Chongqing,1635,108.71722,30.94332,296,14,10-17 08:50:00,10-17 08:50:00,108.71818,30.95597,10-17 13:57:00,10-17 13:57:00,108.71793,30.94253,1017
1529956,10,Chongqing,1635,108.71769,30.94352,296,14,10-18 08:47:00,10-18 08:47:00,108.71821,30.9559,10-18 14:28:00,10-18 14:28:00,108.71805,30.94262,1018
1621057,10,Chongqing,1635,108.72111,30.94159,296,14,10-29 09:48:00,10-29 09:48:00,108.71828,30.95599,10-29 11:38:00,10-29 11:38:00,108.71961,30.94228,1029
3443201,10,Chongqing,1635,108.72242,30.94151,296,14,07-14 09:04:00,07-14 09:04:00,108.71793,30.95635,07-14 10:38:00,07-14 10:38:00,108.72277,30.94202,714
199430,10,Chongqing,1635,108.71963,30.94127,296,14,09-28 09:05:00,09-28 09:05:00,108.7182,30.95597,09-28 10:30:00,09-28 10:30:00,108.71985,30.94241,928
4240373,10,Chongqing,1635,108.72114,30.94156,296,14,10-10 09:06:00,10-10 09:06:00,108.71825,30.95598,10-10 10:54:00,10-10 10:54:00,108.71982,30.94237,1010
2566777,10,Chongqing,1635,108.71763,30.94351,296,14,10-23 09:16:00,10-23 09:16:00,108.71815,30.95591,10-23 14:54:00,10-23 14:54:00,108.71788,30.94266,1023
4181188,10,Chongqing,1635,108.71979,30.94135,296,14,07-16 09:27:00,07-16 09:27:00,108.71798,30.95621,07-16 11:05:00,07-16 11:05:00,108.71973,30.94231,716
1736306,10,Chongqing,1635,108.71766,30.94341,296,14,08-29 08:46:00,08-29 08:46:00,108.71804,30.95623,08-29 14:18:00,08-29 14:18:00,108.7181,30.9426,829
595517,10,Chongqing,1635,108.71824,30.94148,296,14,07-04 09:04:00,07-04 09:04:00,108.71798,30.95633,07-04 11:32:00,07-04 11:32:00,108.71972,30.94241,704
4191331,10,Chongqing,1635,108.72056,30.94148,296,14,09-04 08:57:00,09-04 08:57:00,108.71796,30.95632,09-04 10:16:00,09-04 10:16:00,108.72233,30.93955,904
101246,10,Chongqing,1635,108.72217,30.94152,296,14,06-19 09:44:00,06-19 09:44:00,108.71798,30.95625,06-19 17:08:00,06-19 17:08:00,108.72336,30.94,619
3298992,10,Chongqing,1635,108.72215,30.94162,296,14,10-12 08:53:00,10-12 08:53:00,108.71824,30.95596,10-12 10:33:00,10-12 10:33:00,108.72361,30.94023,1012
3899253,10,Chongqing,1635,108.72352,30.94094,296,14,10-24 09:27:00,10-24 09:27:00,108.71823,30.95583,10-24 11:07:00,10-24 11:07:00,108.72362,30.94282,1024
100963,10,Chongqing,1635,108.72043,30.94156,296,14,06-03 10:20:00,06-03 10:20:00,108.71803,30.95635,06-03 16:50:00,06-03 16:50:00,108.71963,30.9423,603
1146472,10,Chongqing,1635,108.72111,30.94158,296,14,10-22 10:30:00,10-22 10:30:00,108.71825,30.95593,10-22 12:04:00,10-22 12:04:00,108.71968,30.94246,1022
252323,10,Chongqing,1635,108.71961,30.94126,296,14,09-03 09:46:00,09-03 09:46:00,108.71799,30.9563,09-03 11:06:00,09-03 11:06:00,108.71946,30.94211,903
4374564,10,Chongqing,1635,108.71947,30.94229,296,14,10-19 08:34:00,10-19 08:34:00,108.71811,30.95588,10-19 10:02:00,10-19 10:02:00,108.71957,30.9423,1019
2949356,10,Chongqing,1635,108.72059,30.94153,296,14,10-19 08:35:00,10-19 08:35:00,108.7182,30.95589,10-19 10:19:00,10-19 10:19:00,108.72319,30.9399,1019
3860525,10,Chongqing,1635,108.71735,30.94349,296,14,10-19 08:31:00,10-19 08:31:00,108.71823,30.95586,10-19 13:32:00,10-19 13:32:00,108.71807,30.94272,1019
1086282,10,Chongqing,1635,108.71808,30.94245,296,14,07-31 08:49:00,07-31 08:49:00,108.71794,30.95636,07-31 13:41:00,07-31 13:41:00,108.71803,30.94261,731
3765009,10,Chongqing,1635,108.7194,30.94224,296,14,09-01 08:50:00,09-01 08:50:00,108.71809,30.95634,09-01 10:02:00,09-01 10:02:00,108.71962,30.9423,901
3191559,10,Chongqing,1635,108.71727,30.94339,296,14,10-11 08:30:00,10-11 08:30:00,108.71823,30.95584,10-11 13:56:00,10-11 13:56:00,108.71798,30.94245,1011
686728,10,Chongqing,1635,108.71768,30.94345,296,14,08-28 08:07:00,08-28 08:07:00,108.71806,30.95636,08-28 13:46:00,08-28 13:46:00,108.71786,30.94246,828
3098891,10,Chongqing,1635,108.71766,30.94355,296,14,10-12 08:52:00,10-12 08:52:00,108.71824,30.9559,10-12 14:27:00,10-12 14:27:00,108.71798,30.94251,1012
673108,10,Chongqing,1635,108.71914,30.94326,296,14,05-29 09:38:00,05-29 09:38:00,108.71808,30.95632,05-29 11:22:00,05-29 11:22:00,108.72259,30.94209,529
743762,10,Chongqing,1635,108.7197,30.9413,296,14,09-16 09:11:00,09-16 09:11:00,108.71818,30.9559,09-16 11:24:00,09-16 11:24:00,108.71967,30.94226,916
22134,10,Chongqing,1635,108.72103,30.94153,296,14,06-16 09:07:00,06-16 09:07:00,108.71797,30.95625,06-16 10:32:00,06-16 10:32:00,108.72378,30.94054,616
667134,10,Chongqing,1635,108.71688,30.94364,296,14,06-07 08:43:00,06-07 08:43:00,108.71792,30.95634,06-07 14:46:00,06-07 14:46:00,108.71379,30.94478,607
3310572,10,Chongqing,1635,108.72113,30.94154,296,14,06-26 08:23:00,06-26 08:23:00,108.71799,30.95637,06-26 09:25:00,06-26 09:25:00,108.71981,30.94249,626
4271164,10,Chongqing,1635,108.72115,30.94154,296,14,05-16 09:03:00,05-16 09:03:00,108.71804,30.95634,05-16 11:28:00,05-16 11:28:00,108.72363,30.94041,516
1501745,10,Chongqing,1635,108.71775,30.94349,296,14,10-30 09:00:00,10-30 09:00:00,108.71825,30.95592,10-30 14:23:00,10-30 14:23:00,108.718,30.94251,1030
303794,10,Chongqing,1635,108.71766,30.94346,296,14,08-26 09:01:00,08-26 09:01:00,108.71799,30.95636,08-26 14:52:00,08-26 14:52:00,108.71763,30.94348,826
3771847,10,Chongqing,1635,108.71778,30.94354,296,14,10-13 09:18:00,10-13 09:18:00,108.71823,30.95581,10-13 15:09:00,10-13 15:09:00,108.70933,30.94038,1013
3101905,10,Chongqing,1635,108.71692,30.94353,296,14,05-06 09:02:00,05-06 09:02:00,108.72264,30.95717,05-06 10:15:00,05-06 10:15:00,108.7159,30.94575,506
3077304,10,Chongqing,1635,108.71776,30.94359,296,14,09-11 09:57:00,09-11 09:57:00,108.71812,30.95592,09-11 15:19:00,09-11 15:19:00,108.71817,30.94255,911
2332544,10,Chongqing,1635,108.71825,30.94147,296,14,05-07 09:14:00,05-07 09:14:00,108.72252,30.95714,05-07 11:25:00,05-07 11:25:00,108.7196,30.94228,507
3025692,10,Chongqing,1635,108.71833,30.94149,296,14,10-24 09:29:00,10-24 09:29:00,108.71811,30.95586,10-24 11:29:00,10-24 11:29:00,108.70144,30.9364,1024
1933146,10,Chongqing,1635,108.71907,30.94318,296,14,05-11 09:20:00,05-11 09:20:00,108.72257,30.95726,05-11 10:53:00,05-11 10:53:00,108.71963,30.94243,511
1250018,10,Chongqing,1635,108.72113,30.94158,296,14,08-05 08:21:00,08-05 08:21:00,108.71801,30.95629,08-05 10:10:00,08-05 10:10:00,108.72293,30.94209,805
1714542,10,Chongqing,1635,108.71767,30.94357,296,14,07-19 08:21:00,07-19 08:21:00,108.71801,30.95634,07-19 11:30:00,07-19 11:30:00,108.71788,30.94256,719
3030243,10,Chongqing,1635,108.71972,30.94134,296,14,09-14 08:43:00,09-14 08:43:00,108.71815,30.95597,09-14 10:14:00,09-14 10:14:00,108.71975,30.94247,914
2474033,10,Chongqing,1635,108.71965,30.94216,296,14,10-25 10:00:00,10-25 10:00:00,108.71816,30.9559,10-25 11:59:00,10-25 11:59:00,108.72273,30.94212,1025
457001,10,Chongqing,1635,108.71795,30.9425,296,14,08-08 08:37:00,08-08 08:37:00,108.71802,30.95621,08-08 14:03:00,08-08 14:03:00,108.71769,30.94233,808
944591,10,Chongqing,1635,108.71783,30.94286,296,14,05-16 09:03:00,05-16 09:03:00,108.71798,30.95634,05-16 14:37:00,05-16 14:37:00,108.71802,30.94278,516
2649454,10,Chongqing,1326,108.73868,31.31849,565,4,06-18 10:01:00,06-18 10:01:00,108.71791,30.95628,06-20 17:32:00,06-20 17:32:00,108.72249,30.95727,618
1640865,10,Chongqing,1326,108.71664,30.92631,765,14,06-14 09:47:00,06-14 09:47:00,108.71809,30.95633,06-15 15:58:00,06-15 15:58:00,108.72243,30.9572,614
4433393,10,Chongqing,1390,108.7163,30.92455,765,14,08-29 08:46:00,08-29 08:46:00,108.71798,30.95622,08-29 14:29:00,08-29 14:29:00,108.71657,30.92433,829
3203507,10,Chongqing,1390,108.71121,30.92305,765,14,05-16 09:02:00,05-16 09:02:00,108.71805,30.95637,05-16 17:45:00,05-16 17:45:00,108.70964,30.92463,516
3019566,10,Chongqing,1390,108.71682,30.92548,765,14,10-30 09:05:00,10-30 09:05:00,108.71827,30.95599,10-30 12:12:00,10-30 12:12:00,108.7169,30.92514,1030
3171714,10,Chongqing,1390,108.71152,30.92258,765,14,09-09 09:07:00,09-09 09:07:00,108.71798,30.95633,09-09 11:57:00,09-09 11:57:00,108.7114,30.92249,909
668855,10,Chongqing,1390,108.71685,30.92544,765,14,09-13 08:28:00,09-13 08:28:00,108.71813,30.95583,09-13 11:37:00,09-13 11:37:00,108.71692,30.92493,913
506841,10,Chongqing,1390,108.71066,30.92445,765,14,10-25 09:56:00,10-25 09:56:00,108.71813,30.95583,10-25 11:25:00,10-25 11:25:00,108.72178,30.91869,1025
1966281,10,Chongqing,1390,108.7145,30.92192,765,14,09-15 08:27:00,09-15 08:27:00,108.71812,30.9559,09-15 11:38:00,09-15 11:38:00,108.71239,30.9217,915
3387538,10,Chongqing,1390,108.71114,30.92428,765,14,10-13 09:05:00,10-13 09:05:00,108.71825,30.95587,10-13 09:09:00,10-13 09:09:00,108.71816,30.95591,1013
2165249,10,Chongqing,1390,108.71612,30.92545,765,14,10-29 09:16:00,10-29 09:16:00,108.71815,30.95592,10-29 11:18:00,10-29 11:18:00,108.71783,30.92558,1029
2025666,10,Chongqing,1390,108.71362,30.92165,765,14,08-10 09:00:00,08-10 09:00:00,108.71797,30.95639,08-10 15:40:00,08-10 15:40:00,108.71491,30.92044,810
1087798,10,Chongqing,1390,108.71085,30.92373,765,14,10-29 09:15:00,10-29 09:15:00,108.71819,30.95591,10-29 11:39:00,10-29 11:39:00,108.70546,30.92285,1029
3234938,10,Chongqing,1390,108.71105,30.92322,765,14,10-31 09:16:00,10-31 09:16:00,108.71816,30.95596,10-31 18:01:00,10-31 18:01:00,108.71115,30.92188,1031
2771400,10,Chongqing,1390,108.7124,30.92208,765,14,06-19 11:10:00,06-19 11:10:00,108.71793,30.95622,06-19 14:43:00,06-19 14:43:00,108.71227,30.92113,619
678456,10,Chongqing,1390,108.71615,30.92277,765,14,09-03 10:20:00,09-03 10:20:00,108.71802,30.95635,09-03 11:54:00,09-03 11:54:00,108.71642,30.92287,903
1635664,10,Chongqing,1390,108.71615,30.92275,765,14,08-04 08:43:00,08-04 08:43:00,108.71794,30.9563,08-04 14:49:00,08-04 14:49:00,108.71645,30.92273,804
4483530,10,Chongqing,1390,108.7124,30.92197,765,14,06-20 10:03:00,06-20 10:03:00,108.71806,30.95622,06-20 12:01:00,06-20 12:01:00,108.711,30.92205,620
4005358,10,Chongqing,1390,108.71096,30.92394,765,14,10-05 09:16:00,10-05 09:16:00,108.71822,30.95583,10-05 16:29:00,10-05 16:29:00,108.7112,30.923,1005
1961985,10,Chongqing,1635,108.71101,30.92437,765,14,10-18 08:45:00,10-18 08:45:00,108.71821,30.95595,10-18 12:15:00,10-18 12:15:00,108.71283,30.92508,1018
1786666,10,Chongqing,1635,108.71104,30.92425,765,14,10-13 09:04:00,10-13 09:04:00,108.71811,30.95599,10-13 09:07:00,10-13 09:07:00,108.71801,30.95583,1013
3393013,10,Chongqing,1390,108.71288,30.92087,1155,7,09-19 08:41:00,09-19 08:41:00,108.71821,30.95586,09-19 18:21:00,09-19 18:21:00,108.71124,30.92198,919
134872,10,Chongqing,1390,108.70949,30.92239,1155,7,10-16 08:50:00,10-16 08:50:00,108.71821,30.95583,10-16 11:48:00,10-16 11:48:00,108.70938,30.92265,1016
3973460,10,Chongqing,1390,108.70917,30.92175,1155,7,10-28 09:58:00,10-28 09:58:00,108.71819,30.95585,10-28 12:09:00,10-28 12:09:00,108.70917,30.92158,1028
2247941,10,Chongqing,1390,108.71012,30.92168,1155,7,10-15 09:05:00,10-15 09:05:00,108.71822,30.95595,10-15 16:32:00,10-15 16:32:00,108.71038,30.9215,1015
255857,10,Chongqing,1390,108.71263,30.92147,1155,7,05-10 09:05:00,05-10 09:05:00,108.72256,30.9572,05-10 17:41:00,05-10 17:41:00,108.71119,30.92199,510
3104771,10,Chongqing,1390,108.71073,30.92118,1155,7,09-03 10:17:00,09-03 10:17:00,108.71807,30.9563,09-03 19:48:00,09-03 19:48:00,108.71116,30.92194,903
1839911,10,Chongqing,1390,108.71224,30.92095,1155,7,06-30 08:48:00,06-30 08:48:00,108.71803,30.95629,06-30 11:07:00,06-30 11:07:00,108.71314,30.92076,630
633518,10,Chongqing,1390,108.71181,30.92071,1155,7,10-06 09:02:00,10-06 09:02:00,108.71817,30.9559,10-06 10:53:00,10-06 10:53:00,108.7117,30.92074,1006
3634137,10,Chongqing,1390,108.70885,30.92173,1155,7,10-14 08:58:00,10-14 08:58:00,108.71826,30.95583,10-14 19:14:00,10-14 19:14:00,108.71641,30.92245,1014
929474,10,Chongqing,1390,108.7124,30.92148,1155,7,10-31 09:16:00,10-31 09:16:00,108.71818,30.95595,10-31 15:28:00,10-31 15:28:00,108.71224,30.92116,1031
2013326,10,Chongqing,1390,108.71274,30.92088,1155,7,10-18 08:51:00,10-18 08:51:00,108.71819,30.95598,10-18 10:46:00,10-18 10:46:00,108.71329,30.92082,1018
1785081,10,Chongqing,1390,108.70972,30.92252,1155,7,10-22 10:21:00,10-22 10:21:00,108.71818,30.95588,10-22 13:40:00,10-22 13:40:00,108.71196,30.92219,1022
1323813,10,Chongqing,1390,108.71202,30.92159,1155,7,10-23 09:22:00,10-23 09:22:00,108.7182,30.95594,10-23 12:05:00,10-23 12:05:00,108.71231,30.9218,1023
3765070,10,Chongqing,1390,108.71272,30.92072,1155,7,05-26 10:30:00,05-26 10:30:00,108.71802,30.95633,05-26 14:02:00,05-26 14:02:00,108.71336,30.92062,526
454015,10,Chongqing,1390,108.71025,30.92153,1155,7,08-13 08:56:00,08-13 08:56:00,108.71791,30.95623,08-13 15:29:00,08-13 15:29:00,108.70955,30.92159,813
3375083,10,Chongqing,1390,108.71071,30.92121,1155,7,10-28 09:58:00,10-28 09:58:00,108.71823,30.9559,10-28 16:41:00,10-28 16:41:00,108.71059,30.92167,1028
599390,10,Chongqing,1390,108.71335,30.92053,1155,7,05-29 09:36:00,05-29 09:36:00,108.71805,30.95628,05-29 20:51:00,05-29 20:51:00,108.71116,30.9219,529
3233907,10,Chongqing,1390,108.71011,30.92161,1155,7,10-01 09:01:00,10-01 09:01:00,108.71818,30.95594,10-01 11:29:00,10-01 11:29:00,108.70958,30.9214,1001
1093615,10,Chongqing,1390,108.70928,30.92177,1155,7,10-25 09:55:00,10-25 09:55:00,108.71827,30.95585,10-25 15:20:00,10-25 15:20:00,108.70957,30.92138,1025
1721355,10,Chongqing,1390,108.71231,30.92133,1155,7,05-27 09:56:00,05-27 09:56:00,108.71808,30.95623,05-27 16:14:00,05-27 16:14:00,108.7119,30.92107,527
2952479,10,Chongqing,1390,108.71087,30.92118,1155,7,07-06 08:28:00,07-06 08:28:00,108.71801,30.95634,07-06 18:55:00,07-06 18:55:00,108.7112,30.92191,706
